source,source_type,survey,case,DRIPreV3,DRIPostV3,provider,model
command,llm,ccps,CCPS ACT Deliberative,0.26557623758489646,0.028196787284372093,cohere,command
command,llm,ds_aargau,Aargau,0.23362994254314695,-0.00560022255987183,cohere,command
command,llm,ds_bellinzona,Bellinzona,0.5060003493533769,0.005376740012033946,cohere,command
command,llm,energy_futures,CSIRO NSW,0.3401420724395974,0.13140034736863332,cohere,command
command,llm,energy_futures,CSIRO WA,0.43981356956001916,0.11279279766288204,cohere,command
command,llm,fnqcj,FNQCJ,-0.5867699788071322,0.12585747554113846,cohere,command
command,llm,forestera,Forest Lay Citizen,0.4237148022175423,0.12341143533675128,cohere,command
command,llm,forestera,Forest Stakeholder,0.6481860110559474,0.19471359932526444,cohere,command
command,llm,fremantle,Fremantle,-0.26275726135561717,-0.02393261120021506,cohere,command
command,llm,swiss_health,CA,0.2674416171490406,0.030899895255457197,cohere,command
command,llm,uppsala_speaks,Activate,-0.03380867933495124,0.04653690049428188,cohere,command
command,llm,uppsala_speaks,Standard,0.02947636387826824,0.01806122622287673,cohere,command
command,llm,valsamoggia,Valsamoggia,-0.001990177617697708,-0.019053431788897124,cohere,command
command,llm,zh_uster,USTER,0.5874229281854861,0.0935463574678999,cohere,command
command,llm,zh_winterthur,Winterthur,0.30485507615633023,0.20784982409850267,cohere,command
command,llm,zukunft,Zukunft,0.5098464306926969,0.1907715215709537,cohere,command
command-a-03-2025,llm,acp,Citizen Parliamentarian,-0.24710428766901238,0.040254326078359076,cohere,command-a-03-2025
command-a-03-2025,llm,auscj,HGE Deliberative Group,-0.7692684297193487,-0.20761060363967299,cohere,command-a-03-2025
command-a-03-2025,llm,bep,BEP,0.5923411059451344,0.08911487957405038,cohere,command-a-03-2025
command-a-03-2025,llm,biobanking_mayo_ubc,Mayo,0.3867052238795783,-0.0372683518097087,cohere,command-a-03-2025
command-a-03-2025,llm,biobanking_mayo_ubc,UBC Bio,0.3766596795205239,-0.0014851972801255978,cohere,command-a-03-2025
command-a-03-2025,llm,biobanking_wa,WA Citizens,0.39447989001520156,0.1353760997415615,cohere,command-a-03-2025
command-a-03-2025,llm,biobanking_wa,WA Stakeholder,0.3357263209599708,0.2012540438411042,cohere,command-a-03-2025
command-a-03-2025,llm,ccps,CCPS ACT Deliberative,0.46248789093303455,-0.07770418086026441,cohere,command-a-03-2025
command-a-03-2025,llm,ds_aargau,Aargau,0.26999548166637055,0.020713246841812263,cohere,command-a-03-2025
command-a-03-2025,llm,ds_bellinzona,Bellinzona,0.5142276388267732,0.13712828221804316,cohere,command-a-03-2025
command-a-03-2025,llm,energy_futures,CSIRO NSW,0.5462920792877417,0.09936663814903236,cohere,command-a-03-2025
command-a-03-2025,llm,energy_futures,CSIRO WA,0.4522481925572226,0.20486841793712332,cohere,command-a-03-2025
